Location_Name,Address,Zip,City,Latitude,Longitude,Geometry,URL,Category,Description,Type,Service,Target_Group
Nürnberger Hackspace K4CG,"Königstraße 93, 90402 Nürnberg",90402,Nürnberg,49.4487901000000,11.081974300000,Point,https://k4cg.org/index.php/N%C3%BCrnberger_Hackspace_K4CG,HackerSpace,"Die K4 Computergruppe (K4CG), Teil der Offenen Werkstätten im Künstlerhaus Nürnberg, ist ein offener Raum für alle, die sich für Technik begeistern. Hier finden regelmäßige Treffen und Workshops statt, und die Gruppe unterstützt beim Umgang mit verschiedenen Betriebssystemen und technischen Herausforderungen. Sie bietet auch eine Plattform für Austausch und Networking in der lokalen Technologie-Community.",Hackgruppe,"Regelmäßige Treffen, Chaostreff, Vorträge und Workshops, Support für Linux/BSD/macOS/Windows-Nutzer:innen, Hilfe beim Programmieren, Löten, 3D-Drucken","Programmierer, Nerds, Hacker, Geeks, Interessierte an Technologie"
Offene Werkstatt Bamberg,Weißenburgstraße 10,96052,Bamberg,49.9034691000000,10.913020500000,Point,https://www.owba.de/,MakerSpace,"Die Offenen Werkstätten Bamberg e.V. bieten einen Raum für kreative und handwerkliche Tätigkeiten. Sie sind mit verschiedenen Werkzeugen und Geräten ausgestattet und ermöglichen es Mitgliedern der Gemeinschaft, Projekte zu verwirklichen, Fähigkeiten zu erlernen und sich gegenseitig zu inspirieren. Der Verein legt Wert auf gegenseitige Unterstützung und das gemeinsame Lernen und Schaffen.",Gemeinnütziger Verein,"Maschinen, Geräte, Werkzeuge, Platz zum Arbeiten, Austausch und gegenseitige Inspiration, Unterstützung durch Thekenkräfte","Bürger, Maker, Kreative"
Office Club Nürnberg FrankenCampus,Frankenstraße 152,90461,Nürnberg,49.4285555000000,11.088841200000,Point,https://www.officeclub.com/standorte/coworking-space-business-center-nuernberg-frankencampus-office-club,Coworking Space,"Der Office Club Nürnberg FrankenCampus bietet ein modernes Arbeitsumfeld im Businesspark „FrankenCampus“ in der Nürnberger Südstadt. Der Standort verfügt über eine hervorragende Verkehrsanbindung und bietet flexibel nutzbare Räumlichkeiten für Coworking, Meetings und Events. Die umfangreichen Services und Annehmlichkeiten tragen zur Produktivität und zum Komfort der Nutzer bei.","Arbeitsplatz, Meeting- und Eventraum","Flexible Arbeitsplätze, Büroräume & Feste Arbeitsplätze, Konferenzräume, Geschäftsadresse, Virtuelles Büro, Multifunktionsdrucker, Club-Café/Kitchen, umfassender Postservice, hochwertige Einrichtung, Highspeed Internet, unkompliziertes Netzwerken, sichere Arbeitsplätze, freundliches Team vor Ort, Gemeinschaftsbereiche, Büroreinigung","Freiberufler, Selbständige,Programmierer, Geschäftsreisende, Teams, Unternehmen"
Ohm Innovation Center,"Auf AEG, Muggenhofer Straße",90429,Nürnberg,49.4606570000000,11.029371000000,Point,https://www.th-nuernberg.de/forschung-innovation/forschungseinrichtungen/ohm-innovation-center/,Innovationslabor,"Das Ohm Innovation Center „Auf AEG“ wird ab Herbst 2024 das Zentrum der angewandten Forschung der Technischen Hochschule Nürnberg bilden. Es zielt darauf ab, technologische, soziale, ökonomische und kulturelle Innovationen, insbesondere in Zusammenarbeit mit Industrie, Startups, KMU und anderen Organisationen, in der Metropolregion Nürnberg voranzutreiben. Das Zentrum wird ein Umfeld bieten, das die Erarbeitung von Forschungsergebnissen, die Gründung von Unternehmen und die Initiierung von Innovationen fördert.",Zentrum der angewandten Forschung,"Entwicklung von Forschungsergebnissen, Unterstützung bei Unternehmensgründungen und technologischen sowie sozialen Innovationen","Forschende, Unternehmen, Start-ups, Forschungseinrichtungen, Institutionen"
OM7 – Gründungs- und Kreativwirtschaftszentrum,Obermaierstraße 7,90408,Nürnberg,49.4709265791555,11.072800939448,Point,https://www.om7.de/,"Gründerzentrum, Innovationslabor, Coworking Space","Das OM7 ist ein Ort für interdisziplinären Austausch und Wissenstransfer, der sich auf die Unterstützung von Gründenden und Unternehmer*innen der Kreativwirtschaft konzentriert. Es bietet eine Vielzahl von Dienstleistungen und Programmen zur Förderung von Innovationen und kreativen Geschäftsmodellen.",Business Innovation Center für Existenzgründungen und junge Unternehmen der Kreativwirtschaft,"Open Innovation, Kreativ Garage (Gründungsprogramm), Kreativ Punkt (Veranstaltungsformate), Kreativ Labor (Businessworkshops), Coworking, Seminarräume","Start-ups, Studierende, Unternehmengründer, Forschungseinrichtungen, Kreative, Innovatoren"
Open Device Lab Nürnberg,Klingenhofstraße 5,90411,Nürnberg,49.4751761000000,11.106745300000,Point,https://odl-nbg.de/de,HackerSpace,"Das Open Device Lab Nürnberg bietet lokale Web-Entwickler die Möglichkeit, ihre Webseiten und Apps auf einer ständig wachsenden Auswahl mobiler Endgeräte zu testen. Es befindet sich in den Agenturräumen der tollwerk GmbH und wird nach vorheriger Terminvereinbarung zu den üblichen Geschäftszeiten besucht werden können. Es unterstützt die lokale Entwicklergemeinschaft, indem es Zugang zu vielfältigen Testgeräten ermöglicht und damit zur Qualitätssicherung von Webanwendungen beiträgt.",Testlabor für mobile Endgeräte,"Bereitstellung einer Auswahl an mobilen Endgeräten zur Testung von Web-Entwicklungen, Unterstützung von Entwicklern bei praktischen Tests","Programmierer, Nerds, Hacker, Geeks, Interessierte an Technologie"
Otto-Friedrich-Universität Bamberg,Kapuzinerstraße 16,96047,Bamberg,49.8938763000000,10.886080800000,Point,https://www.uni-bamberg.de/,Universitäre und außeruniversitäre Forschung,"Die Otto-Friedrich-Universität Bamberg ist eine renommierte Hochschule, die sich durch eine Vielzahl von Studiengängen und eine starke Forschungsausrichtung auszeichnet. Sie bietet ein internationales und dynamisches Studienumfeld und betont die Bedeutung der interdisziplinären Forschung. Die Universität ist bestrebt, neue Erkenntnisse zu gewinnen und innovative Lösungen zu entwickeln.",Volluniversität,"Studienangebote, Forschungsprojekte, Innovationsförderung","Studieninteressierte, Studierende, Forschende, Wissenschaftler, Lehrende, Wissenschaftscommunity"
PINC Spaces,Lenzstraße 5,90408,Nürnberg,49.4710237000000,11.079556000000,Point,https://www.pinc-spaces.de/,Coworking Space,"PINC Spaces in Nürnberg bietet vielseitig nutzbare Räumlichkeiten für eine breite Palette von Veranstaltungen. Mit einem gemütlichen Garten, der zum Grillen einlädt, sowie verschiedenen Räumen für Meetings und Seminare, ist es ein idealer Ort für den kreativen und inspirierten Austausch. PINC Spaces unterstützt bei der Organisation von Events, von Catering bis hin zum technischen Setup, um sicherzustellen, dass jede Veranstaltung reibungslos verläuft.","Ort für Veranstaltungen, Workshops und Seminare","Meetingräume, Seminarraum, Coworking Space, PINC Garden, Catering, Event-Organisation, Setup, Räume für Yoga-Sessions, Veranstaltungen wie Lesungen, Konferenzen und Seminare","Freiberufler, Selbständige, Teams, Unternehmen"
"Regus - Nuernberg, City Center ZeltnerEck",Zeltnerstraße 1-3,90443,Nürnberg,49.4467579000000,11.071882700000,Point,https://www.regus.com/de-de,Coworking Space,"Regus in Nürnberg bietet ein breites Spektrum an Büro- und Arbeitsplatzlösungen. Es ist ideal für Unternehmen, Freelancer und Start-ups, die flexible Arbeitsplatzoptionen in einer professionellen Umgebung suchen. Mit modern ausgestatteten Räumen und umfassenden Dienstleistungen wie Highspeed-Internet, Telefon- und Empfangsservice sowie Konferenzräumen, erfüllt Regus Seetor die Bedürfnisse einer breiten Palette von Geschäftsanforderungen.","Arbeitsplatz, Meeting- und Eventraum","Büroräume, Coworking-Plätze, virtuelle Büros, Konferenz- und Tagungsräume, Hot Desks, Tagesbüros, Büro-Mitgliedschaft, Tages-Coworking, Geschäftsadresse, Telefon- und Empfangsservice, Konferenzräume, Schulungsräume, Boardrooms, 24/7 Zugang, Highspeed Internet","Freiberufler, Selbständige,Programmierer, Teams, Unternehmen"
StartUp Factory GmbH,Laubanger 17 h,96052,Bamberg,49.9107755000000,10.873514702567,Point,https://www.startup-factory.org/,"Coworking Space,Accelerator", "Die StartUp Factory in Bamberg bietet moderne Räumlichkeiten für Business-Meetings, Seminare und kulturelle Veranstaltungen. Neben den Raumvermietungen für geschäftliche Zwecke engagiert sich die StartUp Factory auch im kulturellen Bereich, unter anderem als Sponsor des Blues und Jazz Festivals in Bamberg. Sie bietet damit eine Plattform, die sowohl geschäftliche als auch kulturelle Interessen bedient.","Ort für Meetings, Seminare und kulturelle Veranstaltungen","Vermietung von modernen Meeting- und Seminarraum, Bühne für Veranstaltungen, Partner und Sponsor des Blues und Jazz Festivals Bamberg","Unternehmen, Veranstalter, Interessierte an Kultur"
Startup.Digital.Nürnberg,Kleestraße 21-23,90461,Nürnberg,49.4337975061844,11.091840857697,Point,https://startup-digital.nuernberg.de/,"Gründerzentrum,Accelerator", "Startup.Digital.Nürnberg, ein Teil der Klee-Center GmbH und Tochtergesellschaft der Stadt Nürnberg, bietet Büroräume, Coaching und Netzwerkmöglichkeiten für Gründer und Start-ups. Als Innovationsmotor für die Region unterstützt es Unternehmen bei der Entwicklung und Vernetzung.",Innovationsmotor für die Region,"Hochwertige, attraktiv ausgestattete Büroräume, Einzel- und Teamcoaching, Multiplikatoren und Interaktionen, Veranstaltungen","Start-ups, Unternehmengründer"
"Studio R5 - Coworking, Offsite Location",Rosenaustraße 5,90429,Nürnberg,49.4498135000000,11.062737200000,Point,,Coworking Space,"Studio R5 bietet in einem schönen, großen Studio am Rosenaupark konzentriertes Arbeiten in schöner Atmosphäre und mit viel Platz. Es gibt feste und tageweise buchbare Arbeitsplätze sowie einen separaten Raum für ungestörte Meetings oder Kundenbesuche",Coworking Space und Offsite Location,"Schreibtisch-/Arbeitsplatzvermietung, separater Besprechungsraum, kleine Küche mit Kaffee/Tee und der Möglichkeit etwas zu kochen, zentrale Lage","Freiberufler, Selbständige, Kreative, Programmierer, Teams"
Technische Hochschule Nürnberg,Keßlerplatz 12,90489,Nürnberg,49.4522688000000,11.093469200000,Point,https://www.th-nuernberg.de/,Universitäre und außeruniversitäre Forschung,"Die Technische Hochschule Nürnberg ist eine Bildungs- und Forschungseinrichtung, die ein vielfältiges Angebot an Studiengängen und Weiterbildungsmöglichkeiten bietet. Sie ist aktiv in der Forschung, insbesondere in Bereichen wie angewandter Informatik und Energiesysteme. Die Hochschule ist auch international ausgerichtet und bietet verschiedene Programme und Projekte an, die Innovation und interdisziplinäre Zusammenarbeit fördern.",Hochschule,"Studienangebote, Weiterbildung, Forschungsprojekte","Studieninteressierte, Studierende, Forschende, Wissenschaftler, Lehrende, Wissenschaftscommunity"
Test- und Anwendungszentrum L.I.N.K.,Nordostpark 84,90411,Nürnberg,49.4863731316473,11.129022709304,Point,https://www.iis.fraunhofer.de/de/profil/standorte/linkhalle.html,Technologietransferzentrum,"Das Test- und Anwendungszentrum L.I.N.K. am Fraunhofer IIS in Nürnberg ist auf die Entwicklung und Evaluierung zukunftsweisender Technologien spezialisiert, insbesondere in den Bereichen Lokalisierung, Identifikation, Navigation und Kommunikation. Das Zentrum bietet eine einzigartige Testinfrastruktur und technologieorientierte Beratungsdienstleistungen für Unternehmen und Forschungseinrichtungen.","Test- und Forschungszentrum, angewandte Forschungs- und Entwicklung","Entwicklung und Evaluierung zukunftsweisender Technologien, Technologieberatung und Systemevaluation","Industriepartner, Forschungseinrichtungen, Unternehmen, Wissenschaftscommunity"
tollwerkstatt,Klingenhofstraße 5,90411,Nürnberg,49.4750908143014,11.107075249316,Point,https://tollwerkstatt.de/,HackerSpace,"Die tollwerkstatt, ein Projekt der Web- und Werbeagentur tollwerk in Nürnberg, bietet seit 2016 eine Plattform für kreative Tech-Events. Mit dem Ziel, die lokale IT- und Open-Source-Community zu fördern, stellt sie einen Raum für regelmäßige Treffen, offenen Wissensaustausch und kreative Veranstaltungen zur Verfügung. Der Werkstattcharakter der Räumlichkeiten fördert eine unkonventionelle und kreative Atmosphäre.",Veranstaltungs- und Workshopraum,"Plattform für Meetups, Workshops, kreative Tech-Events, Unterstützung der IT- und Open-Source-Community","IT- und Open-Source-Community, Entwickler, Kreative"
Twostay Coworking Nürnberg x Sausalitos,Färberstraße 10,90402,Nürnberg,49.4498557000000,11.072696600000,Point,https://twostay.work/,Coworking Space,"TwoStay bietet ein innovatives Coworking-Konzept, das ungenutzte Räume in Hotels, Restaurants, Bars und Einkaufszentren in München und Frankfurt in kreative und flexible Arbeitsplätze verwandelt. Die Pläne sind flexibel und beinhalten alles, was man zum Arbeiten braucht, von Hot Desks bis hin zu Breakout-Räumen und Fokus-Bereichen. TwoStay eignet sich für Personen, die eine flexible und inspirierende Arbeitsumgebung suchen und dabei nur für die tatsächliche Nutzung zahlen möchten.",Flexible Arbeitsplatzlösungen,"Flexible Arbeitsplätze und Meetingräume, Schreibtische, Breakout-Räume, Fokus-Bereiche, Pläne ab 6€, multifunktionale Räume für Fotoshootings, Yoga usw., Hotel-Lobbys, Retail-Plätze, leere Stockwerke, Restaurants, Bars und Einkaufszentren als Coworking-Orte","Freiberufler, Selbständige, Kreative, Programmierer, Teams"
Urban Lab Nürnberg,Frankenstraße 200,90461,Nürnberg,49.4301337000000,11.094497300000,Point,https://www.urbanlab-nuernberg.de/,MakerSpace,"Das Urban Lab Nürnberg ist ein Labor für urbane Experimente und Gestaltung. Es ermöglicht Menschen, aktiv an der Gestaltung ihrer Stadt teilzunehmen. Mit einem Fokus auf Nachhaltigkeit und Interdisziplinarität, arbeitet das Urban Lab an Lösungen, um Städte grüner und lebenswerter zu machen.","Urbanes Experimentier- und Gestaltungslabor, Makerspace","Forschung und Entwicklung urbaner Lösungen, Partizipative und co-kreative Arbeitsweise, Unterstützung und Prototyping für städtische Projekte","Stadtplaner, Architekten, Bürger, Maker"
Venquis Nürnberg (Design Offices Nürnberg City),Königstorgraben 11,90402,Nürnberg,49.4488372802734,11.082666397095,Point,https://www.venquis.com/de/,Coworking Space,,Coworking Space,"Serviced Office Office, Coworking, Virtual Office, Events, Meeting & Conference Space.","Freiberufler, Selbständige, Programmierer, Teams, Unternehmen"
W2G Offices,Rudolf-Breitscheid-Straße 51,90762,Fürth,49.4704206500000,10.996739079067,Point,https://www.w2g-offices.de/,Coworking Space,"W2G Offices in Fürth bietet ein modernes Arbeitsumfeld, das sich durch lichtdurchflutete Räume und eine klare, besondere Atmosphäre auszeichnet. Die Räumlichkeiten sind für flexible Arbeitsweisen konzipiert und bieten eine Vielzahl an Services, die es den Nutzern ermöglichen, sich auf ihre Kernarbeit zu konzentrieren. Das Konzept von W2G Offices fördert einen offenen Gedanken- und Ideenaustausch sowie bereicherndes Networking.","Moderner Arbeitsplatz, Eventlocation","Vermietung von Arbeitsplätzen, Meeting- und Trainingsräumen, leichtes Arbeiten mit ""leichtem Gepäck"", umfassende technische und organisatorische Unterstützung, offener Gedanken- und Ideenaustausch, Networking","Freiberufler, Selbständige, Teams, Unternehmen"
Werk Eins Makerspace,Schwabacher Straße 512,90763,Fürth,49.4381423131461,10.993510806133,Point,http://werk-eins.com/,MakerSpace,"Werk Eins bietet auf einem gemischten Gewerbestandort von knapp 18.000 Quadratmetern Flächen für diverse Nutzungszwecke. Der Standort eignet sich für Unternehmen, die flexiblen Raum für Büro, Produktion, Labor und andere Zwecke benötigen. Die Werk Eins Lounge bietet eine einzigartige Location im Industrielook für diverse Veranstaltungen und ist exklusiv für Mieter, deren Mitarbeiter, Kunden und Geschäftspartner zugänglich.",Gewerbestandort mit vielfältigen Nutzungsmöglichkeiten,"Mietflächen für Büro, Produktion, Labor, Ausstellung, Lager, Fotostudio, Werkstatt uvm., Werk Eins Lounge für Veranstaltungen wie Teammeetings, Mitarbeiterschulungen, Kundenpräsentationen, Workshops, Hackathons oder Privatveranstaltungen","Unternehmen, Institutionen, Start-ups"
WORK | IN Fürth - Coworking Space,Gebhardtstraße 5,90762,Fürth,49.4701891499999,10.992413330965,Point,http://www.workinfuerth.de/,Coworking Space,"WorkIn Fürth bietet in einem historischen Gebäude nahe des Hauptbahnhofs moderne und flexible Arbeitsräume an. Es ist ideal für Unternehmer, Kreative und Startups, die ein lebendiges Netzwerk und professionelle Arbeitsbedingungen suchen. Das Konzept fördert Agilität, Kollaboration und Innovation in einer inspirierenden Umgebung.",Moderner Arbeitsraum in einem charmanten Altbau,"Flexible Arbeitsplätze, Meeting- und Trainingsräume, kostenloses WLAN, Kaffee, Wasser und Snacks, Postempfang, Workshopzubehör, Beamer, Rollcontainer, Marktplatz zum Netzwerken","Freiberufler, Selbständige,Programmierer, Teams, Unternehmen"
workspaceIn Stadtpark - Coworking Space Nürnberg,Virchowstraße 20,90409,Nürnberg,49.4677073000000,11.095644356017,Point,http://workspacein.de/,Coworking Space,"WorkspaceIN bietet in Nürnberg ein professionelles und modernes Coworking-Erlebnis. Nutzer können von einem Arbeitsplatz mit Gartenblick oder von der Dachterrasse aus arbeiten. Die Räumlichkeiten sind modern ausgestattet und bieten alles Notwendige für produktives Arbeiten, einschließlich schnellem Internet und moderner Präsentationstechnologie. WorkspaceIN eignet sich ideal für Berufstätige und Unternehmen, die flexible Arbeitsplätze mit hohem Komfort suchen.",Modernes und professionelles Arbeitsumfeld,"24/7 Zugang, moderne Einrichtung, schnelles Internet, Präsentationstechnik auf dem neuesten Stand, attraktive Meetingräume","Freiberufler, Selbständige,Programmierer, Geschäftsreisende, Teams, Unternehmen"
workspaceIn Stresemanplatz - Coworking Space Nürnberg,Sulzbacher Str. 48,90489,Nürnberg,49.4584412000000,11.095480100000,Point,https://workspacein.de/,Coworking Space,"WorkspaceIN bietet in Nürnberg ein professionelles und modernes Coworking-Erlebnis. Nutzer können von einem Arbeitsplatz mit Gartenblick oder von der Dachterrasse aus arbeiten. Die Räumlichkeiten sind modern ausgestattet und bieten alles Notwendige für produktives Arbeiten, einschließlich schnellem Internet und moderner Präsentationstechnologie. WorkspaceIN eignet sich ideal für Berufstätige und Unternehmen, die flexible Arbeitsplätze mit hohem Komfort suchen.",Modernes und professionelles Arbeitsumfeld,"24/7 Zugang, moderne Einrichtung, schnelles Internet, Präsentationstechnik auf dem neuesten Stand, attraktive Meetingräume","Freiberufler, Selbständige,Programmierer, Geschäftsreisende, Teams, Unternehmen"
XR Hub Bavaria - Nürnberg,Obermaierstraße 7,90408,Nürnberg,49.4709108539942,11.073072000000,Point,https://www.xrhub-nue.de/,Cluster & Innovationsagentur,"Der XR HUB Nürnberg ist Teil des XR HUB Bavaria, einer Initiative zur Stärkung des Medien- und Wirtschaftsstandorts Bayern. Es bietet Beratung, Unterstützung und Weiterbildungsangebote im Bereich Extended Reality und fördert die Vernetzung von Akteuren aus verschiedenen Technologiebereichen in der Metropolregion. Der XR HUB Nürnberg konzentriert sich auf die Aufklärung und den Zugang zu XR-Technologien und schafft Verbindungen zu anderen Technologiefeldern.",Initiative zur Förderung der Medien- und Wirtschaftsstandorts Bayern,"Beratung und Unterstützung im Bereich Extended Reality, Vernetzung von Akteuren aus unterschiedlichen Technologiebereichen in der Metropolregion, Aus- und Weiterbildungsveranstaltungen für Unternehmen und Interessierte, Berufsfelderkundung und Jobmöglichkeiten für Schüler:innen und Studierende im Bereich XR, Anregungen und Input für XR als Querschnittsthema in verschiedenen Bereichen","Unternehmen, Schüler:innen, Studierende, Interessierte an XR-Technologien"
Zentrum für Austausch und Machen (ZAM),Hauptstraße 65-67,91054,Erlangen,49.6000372000000,11.072689447156,Point,https://www.zam.haus/,MakerSpace,"ZAM in Erlangen ist ein Ort, der die Freude am (Selber-)Machen fördert und eine Plattform für kreative, technische und künstlerische Projekte bietet. Es bietet Werkstätten und Räume für gemeinschaftliches Arbeiten und ist ein Treffpunkt für Menschen, die Ideen umsetzen und sich in einer offenen und unterstützenden Umgebung austauschen wollen.",Gemeinnütziger Verein,"Offene Werkstätten und Projektflächen, Förderung des (Selber-)Machens in Gemeinschaft, Zugang zu Fertigungstechniken, Werkstätten für Holz und Metall, Textil, Farbe und Druck, digitale Fertigung, Elektronik, Biowerkstatt","Bürger, Maker, Kreative"
ZOLLHOF – Tech Incubator,Zollhof 7,90443,Nürnberg,49.4436400000000,11.069080000000,Point,https://zollhof.de/,"Gründerzentrum, Accelerator","Der ZOLLHOF – Tech Incubator ist eine Einrichtung, die sich auf die Unterstützung von Start-ups und Unternehmensgründern spezialisiert. Sie bieten Bürovermietung, Inkubations- und Innovationsprogramme an, die sich insbesondere an Start-ups und Studenten richten. Der ZOLLHOF fördert Innovation und Unternehmertum durch die Bereitstellung von Ressourcen und die Vernetzung mit der Wirtschaft.","Gründerzentrum, Digitalisierung, Medizintechnik","Bürovermietung, Inkubationsprogramme, Innovationsprogramme für Studenten, Netzwerkveranstaltungen, Beratungsunternehmen","Start-ups, Studierende, Unternehmengründer, Forschungseinrichtungen"
